#this format is:
#index t X V
390 3.89 7.2145447985 -2.84552014994
391 3.9 7.18671686056 -2.82831394414
392 3.91 7.15911964862 -2.7880351379
393 3.92 7.13168543144 -2.73145685584
394 3.93 7.10528514703 -2.67148529723
395 3.94 7.07895009881 -2.60499011896
396 3.95 7.05386795065 -2.5132049352
397 3.96 7.02969920199 -2.43007980095
398 3.97 7.00658406885 -2.34159311549
399 3.98 6.98462368809 -2.23763119111
400 3.99 6.96379372996 -2.12062700368
401 4.0 6.9438254041 -2.01745959001
402 4.01 6.92499585271 -1.90041472855
403 4.02 6.90695462249 -1.80453775122
404 4.03 6.89010305005 -1.68969499471
405 4.04 6.87415769902 -1.5842300977
406 4.05 6.85946858063 -1.45314193678
407 4.06 6.84575012002 -1.32498799775
408 4.07 6.83403148002 -1.19685199826
409 4.08 6.82309864937 -1.09013506271
410 4.09 6.81325183013 -0.974816987071
411 4.1 6.80473366575 -0.8266334246
412 4.11 6.79808489475 -0.691510524853
413 4.12 6.79232830478 -0.567169522313
414 4.13 6.78781337997 -0.418662003122
415 4.14 6.78508151649 -0.291848351063
416 4.15 6.78334830618 -0.165169381832
417 4.16 6.78268859327 -0.0311406728897
418 4.17 6.78420290442 0.120290442497
419 4.18 6.78642282402 0.242282401773
420 4.19 6.78959589203 0.359589203094
421 4.2 6.79479180979 0.479180979144
422 4.21 6.800910662 0.591066199806
423 4.22 6.8082793484 0.727934840087
424 4.23 6.81642453016 0.842453016116
425 4.24 6.82547156069 0.947156068987
426 4.25 6.83551573687 1.05157368729
427 4.26 6.84725598982 1.12559898247
428 4.27 6.85930825494 1.23082549398
429 4.28 6.87236479369 1.33647936939
430 4.29 6.88618056661 1.41805666075
431 4.3 6.901209345 1.52093450017
432 4.31 6.91721863906 1.62186390598
433 4.32 6.93406222106 1.70622210618
434 4.33 6.95188551913 1.7885519129
435 4.34 6.97052206924 1.85220692445
436 4.35 6.99012102682 1.91210268162
437 4.36 7.0096701161 1.96701161024
438 4.37 7.03037154751 2.03715475078
439 4.38 7.05101909593 2.10190959262
440 4.39 7.07260800915 2.1608009148
441 4.4 7.09474776431 2.174776431
442 4.41 7.11684719093 2.1847190931
443 4.42 7.13925098528 2.22509852793
444 4.43 7.16137430018 2.23743001766
445 4.44 7.18365398505 2.26539850531
446 4.45 7.20663839069 2.26383906905
447 4.46 7.22978900049 2.27890004895
448 4.47 7.25248417555 2.24841755456
449 4.48 7.27436571351 2.23657135097
450 4.49 7.29581116372 2.18111637197
451 4.5 7.31733628174 2.1336281743
452 4.51 7.3377551088 2.07551087966
453 4.52 7.3580566923 2.00566922999
454 4.53 7.3772753952 1.92753952009
455 4.54 7.39561173738 1.86117373762
456 4.55 7.4137252045 1.77252045015
457 4.56 7.43054685831 1.65468583064
458 4.57 7.44663804415 1.56380441506
459 4.58 7.46150173651 1.45017365053
460 4.59 7.47542897522 1.34289752212
461 4.6 7.48734489168 1.23448916818
462 4.61 7.49803416335 1.10341633493
463 4.62 7.50751528862 0.951528861783
464 4.63 7.51599931968 0.799931967956
465 4.64 7.5228087008 0.680870079713
466 4.65 7.52832970154 0.532970153637
467 4.66 7.53200934996 0.400934995664
468 4.67 7.53451972854 0.251972853561
469 4.68 7.53593120768 0.0931207683244
470 4.69 7.53560537761 -0.039462239381
471 4.7 7.53394511221 -0.20548877892
472 4.71 7.53065977161 -0.33402283881
473 4.72 7.52648146413 -0.451853587439
474 4.73 7.51999896864 -0.600103135694
475 4.74 7.51270555202 -0.72944479783
476 4.75 7.50422976628 -0.877023371699
477 4.76 7.49402551966 -0.997448033663
478 4.77 7.48266771029 -1.13322897113
479 4.78 7.47058218926 -1.24178107386
480 4.79 7.45766141966 -1.33385803365
481 4.8 7.44356932331 -1.44306766923
482 4.81 7.42900474453 -1.4995255469
483 4.82 7.41340568901 -1.5594310985
484 4.83 7.39651417793 -1.64858220683
485 4.84 7.37999749222 -1.70025077793
486 4.85 7.36238588973 -1.76141102724
487 4.86 7.34399926405 -1.80007359548
488 4.87 7.32582917244 -1.81708275609
489 4.88 7.30769775328 -1.83022467174
490 4.89 7.28946619042 -1.85338095782
491 4.9 7.27034409899 -1.86559010052
492 4.91 7.25162169319 -1.83783068116
493 4.92 7.2337290304 -1.82709695991
494 4.93 7.21591501302 -1.80849869821
495 4.94 7.19811818324 -1.78818167632
496 4.95 7.18047253477 -1.752746523
497 4.96 7.16276334596 -1.723665404
498 4.97 7.14619662304 -1.68033769555
499 4.98 7.12981393176 -1.61860682369
500 4.99 7.11449268783 -1.55073121673
501 5.0 7.0991525514 -1.48474485995
502 5.01 7.08485288548 -1.41471145228
503 5.02 7.07157389318 -1.34261068167
504 5.03 7.05927458261 -1.27254173941
505 5.04 7.0472682229 -1.17317771
506 5.05 7.03608397026 -1.0916029745
507 5.06 7.0257523989 -1.02476010972
508 5.07 7.01666721371 -0.933278628934
509 5.08 7.00854013453 -0.84598654716
510 5.09 7.00139676837 -0.76032316325
511 5.1 6.99427365073 -0.672634926608
512 5.11 6.98824922455 -0.575077544843
513 5.12 6.98307651576 -0.492348424321
514 5.13 6.97877716318 -0.422283681541
515 5.14 6.97545823875 -0.354176124657
516 5.15 6.97230650302 -0.269349698253
517 5.16 6.97029543164 -0.170456836164
518 5.17 6.96916935258 -0.0830647422182
519 5.18 6.96904558874 0.00455887355568
520 5.19 6.96979917245 0.0799172451177
521 5.2 6.97159362175 0.159362175257
522 5.21 6.97446124844 0.246124843578
523 5.22 6.97734329892 0.334329891897
524 5.23 6.98122563237 0.422563237355
525 5.24 6.98613519368 0.513519367946
526 5.25 6.9919819285 0.598192850476
527 5.26 6.9987364651 0.673646509929
528 5.27 7.00624252319 0.724252318626
529 5.28 7.01390691399 0.790691399382
530 5.29 7.02228497235 0.828497235194
531 5.3 7.03095503969 0.895503969077
532 5.31 7.04074792983 0.97479298288
533 5.32 7.05120847515 1.02084751467
534 5.33 7.06187699206 1.08769920621
535 5.34 7.07352333876 1.15233387617
536 5.35 7.08599979617 1.19997961691
537 5.36 7.09858502906 1.25850290604
538 5.37 7.11194492907 1.29449290677
539 5.38 7.1251137015 1.31137015027
540 5.39 7.13842668644 1.34266864394
541 5.4 7.15164921987 1.36492198651
542 5.41 7.16589774091 1.38977409089
543 5.42 7.17999532218 1.39953221759
544 5.43 7.19405633896 1.40563389616
545 5.44 7.2080054308 1.40054307984
546 5.45 7.22207428803 1.40742880322
547 5.46 7.23621583846 1.42158384629
548 5.47 7.24986086778 1.38608677792
549 5.48 7.26346367005 1.3463670055
550 5.49 7.2762646307 1.32646307049
551 5.5 7.28914393223 1.31439322254
552 5.51 7.30172318989 1.27231898949
553 5.52 7.31436143573 1.23614357256
554 5.53 7.32587985556 1.18798555584
555 5.54 7.33733862462 1.13386246211
556 5.55 7.34781090576 1.08109057614
557 5.56 7.35826598664 1.02659866368
558 5.57 7.36753371138 0.953371138355
559 5.58 7.37695930164 0.895930163931
560 5.59 7.38513182351 0.813182350739
561 5.6 7.39255358041 0.755358041343
562 5.61 7.39986720365 0.686720365233
563 5.62 7.40619532335 0.619532335267
564 5.63 7.41119747642 0.519747641901
565 5.64 7.41552138489 0.452138488569
566 5.65 7.41993426277 0.393426277159
567 5.66 7.42311007285 0.311007284752
568 5.67 7.42540064898 0.240064898275
569 5.68 7.4267792301 0.177923010497
570 5.69 7.42782789351 0.0827893510392
571 5.7 7.42790221163 -0.00977883679323
572 5.71 7.42708090244 -0.0919097562879
573 5.72 7.4255102684 -0.148973160371
574 5.73 7.42342615194 -0.257384806278
575 5.74 7.41940092753 -0.359907246853
576 5.75 7.41467619069 -0.432380930635
577 5.76 7.40982374571 -0.517625429494
578 5.77 7.40409315062 -0.590684937991
579 5.78 7.3971873686 -0.681263140063
580 5.79 7.38978318915 -0.721681084524
581 5.8 7.38202595778 -0.797404221594
582 5.81 7.37377856557 -0.822143442864
583 5.82 7.36532765569 -0.867234430989
584 5.83 7.35579551971 -0.920448028862
585 5.84 7.34636631733 -0.96336826672
586 5.85 7.33616364922 -0.983635077899
587 5.86 7.32577753052 -1.02224694786
